title,type,description,release_year,duration,genre_id,title_platform
Duck the Halls: A Mickey Mouse Christmas Special,Movie,Join Mickey and the gang as they duck the halls!,2016,23 min,"Animation,",Disney Plus
Ernest Saves Christmas,Movie,Santa Claus passes his magic bag to a new St. Nic.,1988,91 min,Comedy,Disney Plus
Ice Age: A Mammoth Christmas,Movie,Sid the Sloth is on Santa's naughty list.,2011,23 min,"Animation,",Disney Plus
The Queen Family Singalong,Movie,"This is real life, not just fantasy!",2021,41 min,Musical,Disney Plus
The Beatles: Get Back,TV Show,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,2021,1 Season,"Docuseries,",Disney Plus
Becoming Cousteau,Movie,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,2021,94 min,"Biographical,",Disney Plus
Hawkeye,TV Show,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,2021,1 Season,"Action-Adventure,",Disney Plus
Port Protection Alaska,TV Show,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,2015,2 Seasons,"Docuseries,",Disney Plus
Secrets of the Zoo: Tampa,TV Show,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,2019,2 Seasons,Animals,Disney Plus
A Muppets Christmas: Letters To Santa,Movie,Celebrate the holiday season with all your favorite Muppets.,2008,45 min,"Comedy,",Disney Plus
Adventure Thru the Walt Disney Archives,Movie,Explore the treasures and rich history of the Walt Disney Archives.,2020,59 min,Documentary,Disney Plus
Puppy for Hanukkah,Movie,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",2020,4 min,"Comedy,",Disney Plus
The Pixar Story,Movie,A groundbreaking company forever changes the face of filmmaking.,2007,91 min,"Documentary,",Disney Plus
"Dr. Oakley, Yukon Vet",TV Show,"Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",2013,10 Seasons,"Action-Adventure,",Disney Plus
America the Beautiful,Movie,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",2021,2 min,Animals & Nature,Disney Plus
Baymax!,Movie,“Baymax!” premieres on Disney+ summer 2022.,2021,1 min,Animation,Disney Plus
Ciao Alberto,Movie,Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,2021,8 min,"Animation,",Disney Plus
Disney Fancy Nancy,TV Show,Nancy makes every day extraordinary!,2018,3 Seasons,"Animation,",Disney Plus
Disney Intertwined,TV Show,Allegra is ready to change the past in order to reach her dream.,2021,1 Season,"Comedy,",Disney Plus
Enchanted,Movie,An animated princess winds up in the real world of modern-day Manhattan.,2007,110 min,"Comedy,",Disney Plus
Feast,Movie,One man's love life seen through the eyes of his dog.,2014,8 min,"Animation,",Disney Plus
Frozen Fever,Movie,Elsa wants to give Anna the best birthday party ever.,2015,11 min,"Animation,",Disney Plus
Get a Horse!,Movie,Mickey and friends hitch a ride on a musical hay wagon.,2013,7 min,"Action-Adventure,",Disney Plus
Home Sweet Home Alone,Movie,"Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",2021,95 min,"Comedy,",Disney Plus
Jungle Cruise,Movie,Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,2021,129 min,"Action-Adventure,",Disney Plus
Limitless with Chris Hemsworth,Movie,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",2021,2 min,Lifestyle,Disney Plus
Marvel Studios’ 2021 Disney+ Day Special,Movie,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",2021,14 min,Movies,Disney Plus
Obi-Wan Kenobi,Movie,"A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",2021,1 min,"Action-Adventure,",Disney Plus
Olaf Presents,TV Show,Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,2021,1 Season,"Animation,",Disney Plus
Paperman,Movie,A young man strives to find girl of his dreams.,2012,7 min,"Animation,",Disney Plus
Pixar 2021 Disney+ Day Special,Movie,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,2021,5 min,Movies,Disney Plus
Shang-Chi and The Legend of The Ten Rings,Movie,"Shang-Chi must confront his father, leader of the Ten Rings organization.",2021,134 min,"Action-Adventure,",Disney Plus
Spin,Movie,Rhea discovers her passion for creating DJ mixes!,2021,94 min,Coming,Disney Plus
Tangled Ever After,Movie,It's up to Max and Pascal to save the royal wedding.,2012,9 min,"Animation,",Disney Plus
The Ballad of Nessie,Movie,A colorful tale about the friendly Loch Ness monster.,2011,8 min,"Animation,",Disney Plus
The Little Matchgirl,Movie,A poor matchgirl sees happy images in the flames of her matches.,2006,7 min,"Animation,",Disney Plus
The Making of Happier Than Ever: A Love Letter to Los Angeles,Movie,"Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",2021,30 min,Concert,Disney Plus
The Proud Family: Louder and Prouder,Movie,"""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",2021,1 min,"Animation,",Disney Plus
The Simpsons in Plusaversary,Movie,Celebrate Disney+ Day with The Simpsons and their friends from across the service.,2021,6 min,"Animation,",Disney Plus
Tick Tock Tale,Movie,A tale of a quirky mantle clock.,2010,6 min,"Animation,",Disney Plus
Under the Helmet: The Legacy of Boba Fett,Movie,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",2021,22 min,Science Fiction,Disney Plus
Willow,Movie,"Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",2021,3 min,"Action-Adventure,",Disney Plus
Alvin and the Chipmunks: Chipwrecked,Movie,The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,2011,87 min,"Comedy,",Disney Plus
Jingle All The Way,Movie,A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,1996,90 min,"Comedy,",Disney Plus
Jingle All the Way 2,Movie,Two dads compete to be the best father and make Christmas amazing!,2014,91 min,"Comedy,",Disney Plus
Prep & Landing: Operation Secret Santa,Movie,Mrs. Claus enlists two elves in a secret mission.,2010,8 min,"Animation,",Disney Plus
Santa Buddies: The Legend of Santa Paws,Movie,"The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",2009,93 min,"Comedy,",Disney Plus
Snow Buddies,Movie,Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,2008,91 min,"Action-Adventure,",Disney Plus
Space Buddies,Movie,"Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",2009,87 min,"Action-Adventure,",Disney Plus
The Search for Santa Paws,Movie,Discover how the legendary friendship of Santa Claus and Santa Paws began.,2010,101 min,"Drama,",Disney Plus
X-Men: First Class,Movie,"Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",2011,132 min,"Action-Adventure,",Disney Plus
Disney Amphibia,TV Show,Anne Boonchuy is transported to the world of Amphibia.,2018,3 Seasons,"Animation,",Disney Plus
Photo Ark,TV Show,National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,2017,1 Season,Animals,Disney Plus
Storm Rising,TV Show,Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,2021,1 Season,"Action-Adventure,",Disney Plus
Bob Ballard: An Explorer's Life,Movie,"An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",2021,44 min,"Biographical,",Disney Plus
"McFarland, USA",Movie,A coach guides underdogs past tremendous obstacles to become champions.,2015,131 min,"Drama,",Disney Plus
Rookie of the Year,Movie,"A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",1993,104 min,"Comedy,",Disney Plus
Thumbelina,Movie,A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,1994,87 min,"Animation,",Disney Plus
PJ Masks,TV Show,Look out Night Time Baddies the PJ Masks are coming!,2015,5 Seasons,"Action-Adventure,",Disney Plus
The Wild Life of Dr. Ole,TV Show,"Doc Ole practices his unique brand of animal care with wit, expertise and insight.",2021,1 Season,Animals,Disney Plus
Lost Cities with Albert Lin: The Great Flood,Movie,Albert Lin is on a global quest to find the origins of Great Flood stories.,2021,44 min,"Documentary,",Disney Plus
Megacity of the Maya Warriors,Movie,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,2021,44 min,Documentary,Disney Plus
Apollo: Back To The Moon,TV Show,"Follow the Apollo lunar landing program from the inside, as never shown before.",2019,1 Season,"Docuseries,",Disney Plus
Just Beyond,TV Show,"Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",2021,1 Season,"Anthology,",Disney Plus
Secrets Of The Zoo: Down Under,TV Show,This series is a behind-the-scenes look at one of the world’s most famous zoos.,2020,2 Seasons,Animals,Disney Plus
Secrets of the Zoo: North Carolina,TV Show,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",2020,1 Season,Reality,Disney Plus
The Wizard of Paws,TV Show,Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,2021,1 Season,Animals,Disney Plus
Zombies: Addison's Moonstone Mystery,TV Show,Things are smooth sailing at Seabrook High until ...,2020,1 Season,"Animation,",Disney Plus
Just Roll With It: You Decide Live!,Movie,The Bennett-Blatts set out to reverse an evil curse!,2019,52 min,Comedy,Disney Plus
Mickey's Tale of Two Witches,Movie,Mickey tells a tale of two witches-in-training!,2021,47 min,"Animation,",Disney Plus
Muppets Haunted Mansion,Movie,Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,2021,53 min,"Comedy,",Disney Plus
The Most Magical Story on Earth: 50 Years of Walt Disney World,Movie,Celebrating 50 years of the Walt Disney World Resort.,2021,85 min,"Family,",Disney Plus
Under Wraps,Movie,Three friends revive a mummy in a neighbor's basement.,2021,92 min,"Action-Adventure,",Disney Plus
Among the Stars,TV Show,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,2021,1 Season,Docuseries,Disney Plus
Black Widow,Movie,Natasha confronts her history as a spy and the broken relationships left in her wake.,2021,135 min,"Action-Adventure,",Disney Plus
Drain the Oceans,TV Show,Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,2017,4 Seasons,"Docuseries,",Disney Plus
Drain The Oceans: The Mississippi River & Arctic War,TV Show,Drain the Oceans takes underwater archaeology into a whole new era.,2021,1 Season,"Docuseries,",Disney Plus
Fauci,Movie,"""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",2021,105 min,"Biographical,",Disney Plus
IMPACT with Gal Gadot,TV Show,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,2021,1 Season,Docuseries,Disney Plus
The Ghost and Molly McGee,TV Show,A grumpy ghost and cheerful tween are eternally bound.,2021,1 Season,"Animation,",Disney Plus
Alvin and the Chipmunks,Movie,"Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",2007,91 min,"Animation,",Disney Plus
Alvin and the Chipmunks: The Road Chip,Movie,"Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",2015,92 min,"Comedy,",Disney Plus
LEGO Star Wars Terrifying Tales,Movie,Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.,2021,47 min,"Action-Adventure,",Disney Plus
Maleficent,Movie,"Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",2014,99 min,"Action-Adventure,",Disney Plus
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,Movie,Mickey tells a scary story on Halloween.,2017,22 min,"Animation,",Disney Plus
Disney Vampirina,TV Show,Vampirina is the new girl in town!,2017,3 Seasons,"Animation,",Disney Plus
Disney's Magic Bake-Off,TV Show,Kid bakers compete to be named Disney Baking Champion.,2021,1 Season,"Family,",Disney Plus
Great Barrier Reef,TV Show,Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,2020,1 Season,Animals,Disney Plus
Ready for Preschool,TV Show,The love of learning begins with Disney Junior!,2019,2 Seasons,"Kids,",Disney Plus
Rolie Polie Olie,TV Show,Rolie Polie Olie’s life and adventures center on his Robo-family.,1998,5 Seasons,"Animation,",Disney Plus
Star Wars Galaxy of Sounds,TV Show,"""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",2021,1 Season,"Animation,",Disney Plus
The Hatcher Family Dairy,TV Show,"The Hatcher Family enjoys a nonstop circus of animals, farming and family.",2021,1 Season,Animals,Disney Plus
The Simpsons,TV Show,"The world’s favorite nuclear family, in the award-winning, history-making series.",1989,32 Seasons,"Animation,",Disney Plus
A Spark Story,Movie,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,2021,88 min,Documentary,Disney Plus
Spooky Buddies,Movie,The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,2011,93 min,"Comedy,",Disney Plus
The Fault in Our Stars,Movie,Hazel and Gus share a love that sweeps them on an unforgettable journey.,2014,127 min,Coming,Disney Plus
Dog: Impossible,TV Show,Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,2019,2 Seasons,Animals,Disney Plus
Spidey And His Amazing Friends,TV Show,Spidey teams up with pals to become The Spidey Team!,2021,1 Season,"Action-Adventure,",Disney Plus
Star Wars: Visions,TV Show,An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,2021,1 Season,"Action-Adventure,",Disney Plus
Confessions of a Shopaholic,Movie,Becky writes a personal finance column en route to a high-fashion mag job.,2009,106 min,"Comedy,",Disney Plus
Descendants: Royal Wedding,Movie,Mal and Ben’s wedding is finally here!,2021,22 min,"Animation,",Disney Plus
Disney's Broadway Hits at London's Royal Albert Hall,Movie,Experience the magic of Disney on Broadway in an unforgettable night of music.,2016,116 min,Concert,Disney Plus
Flooded Tombs of the Nile,Movie,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,2021,44 min,Documentary,Disney Plus
Jade Eyed Leopard,Movie,"Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",2020,44 min,Animals,Disney Plus
Nona,Movie,A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,2021,9 min,"Animation,",Disney Plus
Smoky Mountain Park Rangers,Movie,Park Rangers protect the wildlife in Great Smoky Mountain National Park.,2021,42 min,Animals,Disney Plus
Life Below Zero,TV Show,"Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",2012,16 Seasons,"Action-Adventure,",Disney Plus
Miraculous: Tales Of Ladybug & Cat Noir,TV Show,Superheroes Ladybug and Cat Noir protect the city.,2015,1 Season,"Action-Adventure,",Disney Plus
Unknown Waters with Jeremy Wade,TV Show,"Angler and adventurer, Jeremy Wade, explores the greatest river system in the world.",2021,1 Season,Animals,Disney Plus
Far Away From Raven’s Home,Movie,Our gang is off for an exotic vacation of a lifetime!,2021,11 min,Comedy,Disney Plus
Pirates of the Caribbean: On Stranger Tides,Movie,A woman from his past uses Jack to help find the fabled Fountain of Youth.,2011,140 min,"Action-Adventure,",Disney Plus
Twenty Something,Movie,"Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",2021,11 min,"Animation,",Disney Plus
"Doogie Kamealoha, M.D.",TV Show,A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,2021,1 Season,"Comedy,",Disney Plus
"Mira, Royal Detective",TV Show,Mira is the new royal detective in the land of Jalpur!,2020,2 Seasons,"Animation,",Disney Plus
Pepper Ann,TV Show,Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.,1997,3 Seasons,"Animation,",Disney Plus
